Behavior_type,Procedure,Metric,Session_length,Interval_length,Case_pseudonym,Session_number,Phase,Condition,Outcome
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,1,A1,A,22.94446345
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,2,A1,A,22.43129205
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,3,A1,A,27.78538032
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,4,A1,A,16.92895427
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,5,A1,A,21.83829399
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,10,B1,B,4.98694517
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,11,B1,B,10.00652742
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,12,B1,B,4.647519582
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,13,B1,B,0.646214099
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,6,A1,A,3.780362641
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,7,A1,A,18.13775801
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,8,A1,A,11.77443266
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,9,A1,A,22.08347588
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,14,B1,B,1.148825065
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,15,B1,B,1.671018277
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,16,B1,B,3.524804178
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,17,B1,B,2.219321149
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,18,A2,A,15.43362832
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,19,A2,A,31.22123894
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,20,A2,A,14.2300885
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,1,A1,A,36.52565609
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,2,A1,A,32.07337773
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,3,A1,A,20.42042042
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,4,A1,A,24.98367933
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,21,B2,B,1.368397342
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,22,B2,B,1.869579908
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,23,B2,B,4.623268386
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,24,B2,B,6.920824417
Disruptive Behavior,Event counting,Natural Count,10,N/A,Faith,25,B2,B,4.724631152
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,5,A1,A,4.31518475
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,6,A1,A,35.44849197
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,7,A1,A,29.65791879
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,8,A1,A,3.584018801
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,9,B1,B,5.855855856
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,10,B1,B,4.504504505
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,11,B1,B,5.855855856
Disruptive Behavior,Event counting,Natural Count,10,N/A,Lilly,12,B1,B,7.207207207
