measure,case,session,phase,outcome
LSF_CPM,14,1,0,22
LSF_CPM,14,2,0,22
LSF_CPM,14,3,0,26
LSF_CPM,14,4,0,26
LSF_CPM,14,5,1,35
LSF_CPM,14,6,1,39
LSF_CPM,14,7,1,34
LSF_CPM,14,8,1,29
LSF_CPM,14,9,1,39
LSF_CPM,14,10,1,20
LSF_CPM,14,11,1,25
LSF_CPM,14,12,1,34
LSF_CPM,14,13,1,33
LSF_CPM,14,14,1,29
LSF_CPM,14,15,1,26
LSF_CPM,14,16,1,20
LSF_CPM,24,1,0,15
LSF_CPM,24,2,0,20
LSF_CPM,24,3,0,16
LSF_CPM,24,4,1,19
LSF_CPM,24,5,1,36
LSF_CPM,24,6,1,34
LSF_CPM,24,7,1,38
LSF_CPM,24,8,1,54
LSF_CPM,25,1,0,1
LSF_CPM,25,2,0,0
LSF_CPM,25,3,0,0
LSF_CPM,25,4,1,0
LSF_CPM,25,5,1,0
LSF_CPM,25,6,1,0
LSF_CPM,25,7,1,
LSF_CPM,25,8,1,0
LSF_CPM,25,9,1,0
LSF_CPM,25,10,1,0
LSF_CPM,25,11,1,0
LSF_CPM,25,12,1,2
LSF_CPM,25,13,1,1
LSF_CPM,25,14,1,1
LSF_CPM,25,15,1,0
LSF_CPM,102,1,0,0
LSF_CPM,102,2,0,0
LSF_CPM,102,3,0,0
LSF_CPM,102,4,1,0
LSF_CPM,102,5,1,0
LSF_CPM,102,6,1,0
LSF_CPM,102,7,1,0
LSF_CPM,102,8,1,0
LSF_CPM,102,9,1,0
LSF_CPM,102,10,1,0
LSF_CPM,102,11,1,0
LSF_CPM,102,12,1,0
LSF_CPM,102,13,1,8
LSF_CPM,102,14,1,14
LSF_CPM,102,15,1,15
LSF_CPM,106,1,0,0
LSF_CPM,106,2,0,0
LSF_CPM,106,3,0,2
LSF_CPM,106,4,0,0
LSF_CPM,106,5,1,0
LSF_CPM,106,6,1,2
LSF_CPM,106,7,1,0
LSF_CPM,106,8,1,0
LSF_CPM,106,9,1,1
LSF_CPM,106,10,1,2
LSF_CPM,106,11,1,1
LSF_CPM,106,12,1,2
LSF_CPM,106,13,1,0
LSF_CPM,106,14,1,1
LSF_CPM,106,15,1,0
LSF_CPM,106,16,1,0
