Identifier,Study,X_values,Y_values,Condition
1,Onorato_Fig3_Child1,1,5,0
1,Onorato_Fig3_Child1,2,6,0
1,Onorato_Fig3_Child1,3,6,0
1,Onorato_Fig3_Child1,4,5,1
1,Onorato_Fig3_Child1,5,8,1
1,Onorato_Fig3_Child1,6,8,1
1,Onorato_Fig3_Child1,7,7,1
1,Onorato_Fig3_Child1,8,9,1
1,Onorato_Fig3_Child1,9,7,1
1,Onorato_Fig3_Child1,10,8,1
1,Onorato_Fig3_Child1,11,8,1
2,Onorato_Fig3_Child2,1,6,0
2,Onorato_Fig3_Child2,2,7,0
2,Onorato_Fig3_Child2,3,6,0
2,Onorato_Fig3_Child2,4,5,0
2,Onorato_Fig3_Child2,5,7,0
2,Onorato_Fig3_Child2,6,5,0
2,Onorato_Fig3_Child2,7,6,0
2,Onorato_Fig3_Child2,8,6,1
2,Onorato_Fig3_Child2,9,5,1
2,Onorato_Fig3_Child2,10,7,1
2,Onorato_Fig3_Child2,11,7,1
2,Onorato_Fig3_Child2,12,7,1
2,Onorato_Fig3_Child2,13,8,1
2,Onorato_Fig3_Child2,14,8,1
2,Onorato_Fig3_Child2,15,9,1
2,Onorato_Fig3_Child2,16,7,1
2,Onorato_Fig3_Child2,17,8,1
2,Onorato_Fig3_Child2,18,10,1
2,Onorato_Fig3_Child2,19,7,1
3,Onorato_Fig3_Child3,1,6,0
3,Onorato_Fig3_Child3,2,7,0
3,Onorato_Fig3_Child3,3,3,0
3,Onorato_Fig3_Child3,4,2,0
3,Onorato_Fig3_Child3,5,4,0
3,Onorato_Fig3_Child3,6,4,0
3,Onorato_Fig3_Child3,7,4,0
3,Onorato_Fig3_Child3,8,4,0
3,Onorato_Fig3_Child3,9,5,0
3,Onorato_Fig3_Child3,10,3,0
3,Onorato_Fig3_Child3,11,2,1
3,Onorato_Fig3_Child3,12,4,1
3,Onorato_Fig3_Child3,13,4,1
3,Onorato_Fig3_Child3,14,4,1
3,Onorato_Fig3_Child3,15,3,1
3,Onorato_Fig3_Child3,16,4,1
3,Onorato_Fig3_Child3,17,6,1
3,Onorato_Fig3_Child3,18,3,1
4,Onorato_Fig4_Child1,1,4.3,0
4,Onorato_Fig4_Child1,2,5.6,0
4,Onorato_Fig4_Child1,3,5.5,0
4,Onorato_Fig4_Child1,4,4.3,1
4,Onorato_Fig4_Child1,5,5.7,1
4,Onorato_Fig4_Child1,6,7.5,1
4,Onorato_Fig4_Child1,7,6.8,1
4,Onorato_Fig4_Child1,8,8.1,1
4,Onorato_Fig4_Child1,9,6.5,1
4,Onorato_Fig4_Child1,10,6.2,1
4,Onorato_Fig4_Child1,11,6.8,1
5,Onorato_Fig4_Child2,1,4.3,0
5,Onorato_Fig4_Child2,2,5.1,0
5,Onorato_Fig4_Child2,3,4.6,0
5,Onorato_Fig4_Child2,4,3.6,0
5,Onorato_Fig4_Child2,5,5.8,0
5,Onorato_Fig4_Child2,6,4.5,0
5,Onorato_Fig4_Child2,7,5.6,0
5,Onorato_Fig4_Child2,8,3.8,1
5,Onorato_Fig4_Child2,9,2.3,1
5,Onorato_Fig4_Child2,10,6.3,1
5,Onorato_Fig4_Child2,11,6.8,1
5,Onorato_Fig4_Child2,12,5,1
5,Onorato_Fig4_Child2,13,6,1
5,Onorato_Fig4_Child2,14,6.1,1
5,Onorato_Fig4_Child2,15,8.5,1
5,Onorato_Fig4_Child2,16,5.6,1
5,Onorato_Fig4_Child2,17,6.1,1
5,Onorato_Fig4_Child2,18,9.6,1
5,Onorato_Fig4_Child2,19,5.8,1
6,Onorato_Fig4_Child3,1,4.8,0
